YEAR,MO,DY,HR,Temp,Humidity,Pressure,Wind_Speed
2022,1,21,13,-5.79,1.28,102.35,4.63
2022,1,21,14,-5.5,1.34,102.34,4.49
2022,1,21,15,-6,1.4,102.36,4.3
2022,1,21,16,-7.4,1.4,102.41,3.85
2022,1,21,17,-8.54,1.4,102.47,3.85
2022,1,21,18,-9.17,1.4,102.5,4.07
2022,1,21,19,-9.67,1.34,102.52,4.14
2022,1,21,20,-10.03,1.34,102.49,4.13
2022,1,21,21,-10.21,1.34,102.46,4.18
2022,1,21,22,-10.25,1.28,102.43,4.11
2022,1,21,23,-10.31,1.28,102.4,4.06
2022,1,22,0,-10.57,1.28,102.35,4.09
2022,1,22,1,-10.93,1.28,102.32,4.05
2022,1,22,2,-11.29,1.22,102.3,4.15
2022,1,22,3,-11.76,1.22,102.25,4.26
2022,1,22,4,-12.4,1.16,102.22,4.12
2022,1,22,5,-13.27,1.1,102.21,4.04
2022,1,22,6,-14.09,1.04,102.21,3.97
2022,1,22,7,-14.33,1.04,102.19,4.02
2022,1,22,8,-12.4,1.1,102.17,3.89
2022,1,22,9,-9.72,1.22,102.13,3.61
2022,1,22,10,-7.13,1.46,102.07,3.06
2022,1,22,11,-4.73,1.65,101.95,2.31
2022,1,22,12,-2.95,1.65,101.77,1.62
2022,1,22,13,-2.1,1.59,101.6,0.96
2022,1,22,14,-1.99,1.59,101.5,0.65
2022,1,22,15,-2.67,1.65,101.41,0.85
2022,1,22,16,-4.08,1.71,101.34,0.93
2022,1,22,17,-4.77,1.46,101.3,1.02
2022,1,22,18,-5.62,1.46,101.29,1.48
2022,1,22,19,-6.67,1.53,101.27,1.97
2022,1,22,20,-6.98,1.65,101.2,2.19
2022,1,22,21,-7.77,1.65,101.12,2.58
2022,1,22,22,-8.5,1.53,101.04,3.02
2022,1,22,23,-8.59,1.59,100.97,3.27
2022,1,23,0,-8.75,1.59,100.88,3.42
2022,1,23,1,-9.18,1.59,100.82,3.4
2022,1,23,2,-9.57,1.53,100.75,3.35
2022,1,23,3,-9.8,1.53,100.69,3.34
2022,1,23,4,-10.02,1.53,100.66,3.2
2022,1,23,5,-10.24,1.53,100.64,3.06
2022,1,23,6,-10.1,1.53,100.64,2.85
2022,1,23,7,-9.08,1.65,100.62,2.77
